station_id,station_name,brand,address,lat,lng,fuel_type,days_observed,days_available,days_unavailable,days_station_missing,first_unavailable_day,last_unavailable_day,longest_unavailable_streak_days,current_unavailable_streak_days,currently_unavailable,unavailability_rate_observed,latest_truth_fuel_types,fuel_types_ever
1768,BP Putney,BP,"236 Morrison Road, Putney NSW 2112",-33.823874,151.108405,P95,11,4,7,1,2026-03-29,2026-04-13,5,0,false,0.6364,"U91,P95,P98,DL","U91,P95,P98,DL"
2362,Ampol Foodary Carlingford,Ampol Foodary,"131 Pennant Hills Rd, CARLINGFORD NSW 2118",-33.787648,151.027913,PDL,12,5,7,0,2026-03-29,2026-04-13,4,0,false,0.5833,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17329,Ampol Foodary Seven Hills,Ampol Foodary,"38 Abbott Rd, SEVEN HILLS NSW 2147",-33.7669285,150.9548252,E10,10,3,7,2,2026-03-29,2026-04-18,4,4,true,0.7000,"P95,P98,PDL","E10,P95,P98,PDL"
2204,Ampol Foodary Concord,Ampol Foodary,"87-89 Parramatta Rd, CONCORD NSW 2137",-33.867895,151.099444,E10,12,6,6,0,2026-03-31,2026-04-05,6,0,false,0.5000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
2436,Ampol Foodary Waitara,Ampol Foodary,"59-61 Pacific Highway, WAITARA NSW 2077",-33.710531,151.102447,E10,10,4,6,2,2026-03-31,2026-04-05,6,0,false,0.6000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
301,BP Naremburn,BP,"169 Willoughby Road, Naremburn NSW 2065",-33.820024,151.201159,U91,10,4,6,2,2026-03-31,2026-04-05,6,0,false,0.6000,"U91,P95,P98,PDL","U91,P95,P98,PDL"
391,Shell Reddy  Express Northmead,Reddy Express,"197 Windsor Road, Northmead NSW 2152",-33.7774,151.000088,DL,12,6,6,0,2026-04-02,2026-04-14,6,0,false,0.5000,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
12,Shell Reddy Express Lansvale,Reddy Express,"65-99 Hume Highway, Canley Vale NSW 2166",-33.893006,150.960593,DL,12,6,6,0,2026-04-02,2026-04-14,6,0,false,0.5000,"E10,P98,DL","E10,P98,DL"
73,Shell Reddy Express Smithfield,Reddy Express,"678 The Horsley Drv (Cnr Cumberland Hwy), Smithfield NSW 2164",-33.85369,150.940106,DL,8,2,6,4,2026-04-02,2026-04-14,6,0,false,0.7500,"E10,P95,P98,DL","E10,P95,P98,DL"
2338,Ampol Foodary Ermington,Ampol Foodary,"560-562 Victoria Road, ERMINGTON NSW 2115",-33.81396,151.054799,E10,9,4,5,3,2026-04-01,2026-04-05,5,0,false,0.5556,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17581,Ampol Foodary Five Dock,Ampol Foodary,"Ramsay Rd & Fairlight Street, FIVE DOCK NSW 2046",-33.870023,151.130434,P95,10,5,5,2,2026-03-31,2026-04-04,5,0,false,0.5000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17581,Ampol Foodary Five Dock,Ampol Foodary,"Ramsay Rd & Fairlight Street, FIVE DOCK NSW 2046",-33.870023,151.130434,P98,10,5,5,2,2026-03-31,2026-04-04,5,0,false,0.5000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17310,Ampol Foodary St Ives North,Ampol Foodary,"363 Mona Vale Road, ST IVES NORTH NSW 2075",-33.716381,151.173316,P95,12,7,5,0,2026-03-29,2026-04-02,5,0,false,0.4167,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
300,BP Mosman (0926),BP,"Cnr Avenue & Cowles Roads, Mosman NSW 2088",-33.832039,151.237292,P98,10,5,5,2,2026-04-01,2026-04-05,5,0,false,0.5000,"E10,P95,P98,PDL","E10,P95,P98,PDL"
262,7-Eleven Ryde,7-Eleven,"326-328 Blaxland Road, Ryde NSW 2112",-33.802513,151.100336,LPG,12,8,4,0,2026-04-13,2026-04-18,4,4,true,0.3333,"U91,E10,P98,PDL","U91,E10,P98,PDL,LPG"
17143,7-Eleven Yagoona,7-Eleven,"519 Hume Hwy, YAGOONA NSW 2199",-33.9076093,151.0207726,E10,8,4,4,4,2026-04-13,2026-04-18,4,4,true,0.5000,"U91,P98,PDL,LPG","U91,E10,P98,PDL,LPG"
2204,Ampol Foodary Concord,Ampol Foodary,"87-89 Parramatta Rd, CONCORD NSW 2137",-33.867895,151.099444,P98,12,8,4,0,2026-04-01,2026-04-04,4,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
2204,Ampol Foodary Concord,Ampol Foodary,"87-89 Parramatta Rd, CONCORD NSW 2137",-33.867895,151.099444,PDL,12,8,4,0,2026-03-29,2026-04-01,4,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
2374,Ampol Foodary Granville,Ampol Foodary,"144 Parramatta Rd, GRANVILLE NSW 2142",-33.830266,151.010762,PDL,12,8,4,0,2026-03-29,2026-04-01,4,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
18264,Ampol Foodary Lane Cove West,Ampol Foodary,"UNIT 1 237-245 BURNS BAY RD, LANE COVE WEST NSW 2066",-33.816452,151.1513941,P95,12,8,4,0,2026-03-29,2026-04-01,4,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
18264,Ampol Foodary Lane Cove West,Ampol Foodary,"UNIT 1 237-245 BURNS BAY RD, LANE COVE WEST NSW 2066",-33.816452,151.1513941,P98,12,8,4,0,2026-03-29,2026-04-01,4,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17165,Ampol Foodary Rydalmere,Ampol Foodary,"309 Victoria Rd, RYDALMERE NSW 2116",-33.8119597,151.0371167,P95,12,8,4,0,2026-03-29,2026-04-01,4,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
18253,Ampol Foodary St Ives,Ampol Foodary,"164 Mona Vale Road, ST IVES NSW 2075",-33.7307318,151.157048,E10,12,8,4,0,2026-03-29,2026-04-01,4,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
18253,Ampol Foodary St Ives,Ampol Foodary,"164 Mona Vale Road, ST IVES NSW 2075",-33.7307318,151.157048,P95,12,8,4,0,2026-03-29,2026-04-01,4,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
18253,Ampol Foodary St Ives,Ampol Foodary,"164 Mona Vale Road, ST IVES NSW 2075",-33.7307318,151.157048,P98,12,8,4,0,2026-03-29,2026-04-01,4,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
1795,BP Lane Cove,BP,"62-70 Epping Rd, Lane Cove NSW 2066",-33.811106,151.164217,LPG,12,8,4,0,2026-04-13,2026-04-18,4,4,true,0.3333,"U91,E10,P98,PDL","U91,E10,P98,PDL,LPG"
359,BP Seven Hills,BP,"Abbott Road, Seven Hills NSW 2147",-33.767172,150.95023,U91,12,8,4,0,2026-04-02,2026-04-05,4,0,false,0.3333,"U91,P98,PDL","U91,P98,PDL"
18444,BP Smithfield NSW,BP,"846 THE HORSLEY DRIVE, SMITHFIELD NSW 2164",-33.8515694,150.9256841,PDL,8,4,4,4,2026-04-02,2026-04-05,4,0,false,0.5000,"U91,E10,P98,PDL","U91,E10,P98,PDL"
1860,Budget Fairfield,Budget,"62 Railway Parade, Fairfield NSW 2165",-33.880537,150.948533,P98,8,4,4,4,2026-04-02,2026-04-05,4,0,false,0.5000,"U91,E10,P95,P98,DL","U91,E10,P95,P98,DL"
17977,Coles Express Lansvale West,Coles Express,"240 Hume Highway, LANSVALE NSW 2166",-33.89796,150.952614,PDL,12,8,4,0,2026-04-04,2026-04-14,4,0,false,0.3333,"U91,E10,P95,P98,DL,PDL","U91,E10,P95,P98,DL,PDL"
16915,Ampol Foodary Lansvale,Ampol Foodary,"141-151 Hume Highway Cnr Chadderton St, LANSVALE NSW 2166",-33.894328,150.957208,PDL,12,8,4,0,2026-03-29,2026-04-13,3,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
16908,Ampol Foodary Merrylands,Ampol Foodary,"150 Woodville Rd, MERRYLANDS NSW 2160",-33.838025,150.99969,PDL,12,8,4,0,2026-03-29,2026-04-13,3,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
782,Ampol Foodary Northmead,Ampol Foodary,"98-100 Windsor Rd Cnr Lombard Rd, Northmead NSW 2152",-33.788196,150.994927,PDL,11,7,4,1,2026-03-29,2026-04-17,2,0,false,0.3636,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
17362,Ampol Foodary Croydon,Ampol Foodary,"404-410 Liverpool Rd, CROYDON NSW 2132",-33.8884725,151.1157289,PDL,12,8,4,0,2026-03-29,2026-04-14,1,0,false,0.3333,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
76,7-Eleven Fairfield,7-Eleven,"320 Polding St, FAIRFIELD WEST NSW 2165",-33.8594672,150.922616,PDL,8,5,3,4,2026-04-02,2026-04-04,3,0,false,0.3750,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
