station_id,station_name,brand,address,lat,lng,status,status_label,usual_fuel_types,usual_petrol_types,available_now,unavailable_now,usual_fuel_count,basis_fuel_count,unavailable_count,unavailable_ratio_pct,max_current_streak_days,completely_out_of_all_usual
17317,7-Eleven Enmore,7-Eleven,"22 Stanmore Street, Enmore NSW 2042",-33.898417,151.169933,green,All usual fuels available,"E10,P98,U91","E10,P98,U91","E10,P98,U91",,3,3,0,0.0,0,false
227,7-Eleven Epping,7-Eleven,"246 Beecroft & Carlingford Roads, Epping NSW 2121",-33.770913,151.081199,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
76,7-Eleven Fairfield,7-Eleven,"320 Polding St, FAIRFIELD WEST NSW 2165",-33.8594672,150.922616,green,All usual fuels available,"E10,P95,P98,U91","E10,P95,P98,U91","E10,P95,P98,U91",,4,4,0,0.0,0,false
135,7-Eleven Fairfield West,7-Eleven,"234 Hamilton Road, Fairfield West NSW 2165",-33.872141,150.937268,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
17146,7-Eleven Five Dock,7-Eleven,"231-235 Great North Road, Five Dock NSW 2046",-33.86491,151.130081,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
230,7-Eleven Granville,7-Eleven,"154-160 Parramatta Road & Corner Bold Street, Granville NSW 2142",-33.8301284,151.01003,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
231,7-Eleven Granville East,7-Eleven,"Lot 3-4 Parramatta Road & Harbord Street, Granville East NSW 2142",-33.835001,151.021825,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
17134,7-Eleven Greenacre,7-Eleven,"301 Hume Hwy, GREENACRE NSW 2190",-33.9052467,151.0418668,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
18201,7-Eleven Greystanes,7-Eleven,"601-605 Great Western Highway, GREYSTANES NSW 2145",-33.808609,150.9359412,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
306,7-Eleven Guildford,7-Eleven,"272-278 Woodville Road, Guildford NSW 2161",-33.848168,150.996937,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
130,7-Eleven Guildford West,7-Eleven,"534 Guildford Road West (Corner Fowler Road), Guildford West NSW 2161",-33.851431,150.972137,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
221,7-Eleven Haberfield,7-Eleven,"25 Parramatta Road, Haberfield NSW 2045",-33.887908,151.142813,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
